pezzo;materiale;layer;L_mm;P_mm;H_mm;volume_dm3
CARC_cielo_sp18;Laminato CERA;VOL_CERA;1173;322;18;6.799
CARC_divisorio_sp18;Laminato CERA;VOL_CERA;18;382;439;3.019
CARC_fianco_DX_sp18;Laminato CERA;VOL_CERA;18;382;439;3.019
CARC_fianco_SX_sp18;Laminato CERA;VOL_CERA;18;382;439;3.019
CARC_fondo_sopra_LED;Laminato CERA;VOL_CERA;1173;4;10;0.047
CARC_fondo_sp18_fronte;Laminato CERA;VOL_CERA;1173;48;18;1.013
CARC_fondo_sp18_retro;Laminato CERA;VOL_CERA;1173;330;18;6.968
RIPIANO_nicchia_sp18;Laminato CERA;VOL_CERA;432;280;18;2.177
RIPIANO_vano_ante_sp18;Laminato CERA;VOL_CERA;687;280;18;3.462
SCHIENALE_nicchia_sp18;Laminato CERA;VOL_CERA;432;18;439;3.414
SCHIENALE_vano_ante_sp18;Laminato CERA;VOL_CERA;687;18;439;5.429
TRAVERSO_gola_retro_sp18;Laminato CERA;VOL_CERA;1173;18;77;1.626
TRAVERSO_retro_alto_DX;Laminato CERA;VOL_CERA;687;18;100;1.237
TRAVERSO_retro_alto_SX;Laminato CERA;VOL_CERA;432;18;100;0.778
TRAVERSO_retro_basso_DX;Laminato CERA;VOL_CERA;687;18;100;1.237
TRAVERSO_retro_basso_SX;Laminato CERA;VOL_CERA;432;18;100;0.778
ANTA_DX_357x488_sp18;Laminato OPACO;VOL_OPACO;357;18;488;3.136
ANTA_SX_357x488_sp18;Laminato OPACO;VOL_OPACO;357;18;488;3.136
TOP_bordo_fronte_h60;Laminato OPACO;VOL_OPACO;1173;18;60;1.267
TOP_piano_sopra_LED;Laminato OPACO;VOL_OPACO;1173;4;10;0.047
TOP_piano_sp18_DX;Laminato OPACO;VOL_OPACO;333;365;18;2.188
TOP_piano_sp18_SX;Laminato OPACO;VOL_OPACO;760;365;18;4.993
TOP_piano_sp18_foro_avanti;Laminato OPACO;VOL_OPACO;80;125;18;0.180
TOP_piano_sp18_foro_dietro;Laminato OPACO;VOL_OPACO;80;160;18;0.230
TOP_piano_sp18_fronte;Laminato OPACO;VOL_OPACO;1173;13;18;0.274
ZOCCOLO_arretrato_sp18;Laminato OPACO;VOL_ZOCCOLO;1173;18;95;2.006
GOLA_fondo_sp18;Specchio;VOL_SPECCHIO;1173;18;77;1.626
PAR_telaio_infisso_sp60;VOL_INFISSO;VOL_INFISSO;1173;60;644;45.325
LAVABO_GALASSIA_MEG11_fondo;VOL_LAVABO;VOL_LAVABO;603;379;30;6.856
LAVABO_sponda_DX;VOL_LAVABO;VOL_LAVABO;20;339;220;1.492
LAVABO_sponda_SX;VOL_LAVABO;VOL_LAVABO;20;339;220;1.492
LAVABO_sponda_fronte;VOL_LAVABO;VOL_LAVABO;603;20;220;2.653
LAVABO_sponda_retro;VOL_LAVABO;VOL_LAVABO;603;20;220;2.653
LED_gola_incasso;VOL_LED;VOL_LED;1173;4;8;0.038
LED_sottofondo_incasso;VOL_LED;VOL_LED;1173;4;8;0.038
PAR_tubolare_30x25_z2185;VOL_METALLO;VOL_METALLO;1173;25;30;0.880
PAR_tubolare_80x50_z1650;VOL_METALLO;VOL_METALLO;1173;50;80;4.692
PAR_tubolare_80x50_z2105;VOL_METALLO;VOL_METALLO;1173;50;80;4.692
PAR_tubolare_80x50_z920;VOL_METALLO;VOL_METALLO;1173;50;80;4.692
PAR_finitura_sp2_lato_DX;VOL_PARETE;VOL_PARETE;356.67;2;40;0.029
PAR_finitura_sp2_lato_SX;VOL_PARETE;VOL_PARETE;784.33;2;40;0.063
PAR_finitura_sp2_sopra;VOL_PARETE;VOL_PARETE;1173;2;530;1.243
PAR_finitura_sp2_sotto_A;VOL_PARETE;VOL_PARETE;1173;2;291;0.683
PAR_finitura_sp2_sotto_B;VOL_PARETE;VOL_PARETE;1173;2;634;1.487
PAR_mineralwall_sp4_foro_DX;VOL_PARETE;VOL_PARETE;356.67;4;32;0.046
PAR_mineralwall_sp4_foro_SX;VOL_PARETE;VOL_PARETE;784.33;4;32;0.100
PAR_mineralwall_sp4_medio;VOL_PARETE;VOL_PARETE;1173;4;676;3.172
PAR_mineralwall_sp4_sopra;VOL_PARETE;VOL_PARETE;1173;4;458;2.149
PAR_mineralwall_sp4_sotto;VOL_PARETE;VOL_PARETE;1173;4;295;1.384
PAR_pannello_sp6_foro_DX;VOL_PARETE;VOL_PARETE;356.67;6;20;0.043
PAR_pannello_sp6_foro_SX;VOL_PARETE;VOL_PARETE;784.33;6;20;0.094
PAR_pannello_sp6_sopra;VOL_PARETE;VOL_PARETE;1173;6;525;3.695
PAR_pannello_sp6_sotto;VOL_PARETE;VOL_PARETE;1173;6;629;4.427
PIEDINO_FRONTE_CENTRO_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
PIEDINO_FRONTE_DX_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
PIEDINO_FRONTE_SX_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
PIEDINO_RETRO_CENTRO_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
PIEDINO_RETRO_DX_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
PIEDINO_RETRO_SX_H100;VOL_PIEDINI;VOL_PIEDINI;79;60;100;0.474
MISCELATORE_bocca;VOL_RUBINETTERIA;VOL_RUBINETTERIA;107;30;40;0.128
MISCELATORE_colonna;VOL_RUBINETTERIA;VOL_RUBINETTERIA;40;72;430;1.238
SCAR_colonna_discesa_D32;VOL_SCARICO;VOL_SCARICO;32;32;242.94;0.249
SCAR_flangia;VOL_SCARICO;VOL_SCARICO;32;4;49;0.006
SCAR_flangia_piletta;VOL_SCARICO;VOL_SCARICO;32;64;10;0.020
SCAR_innesto_parete;VOL_SCARICO;VOL_SCARICO;32;51;40;0.065
SCAR_manicotto;VOL_SCARICO;VOL_SCARICO;32;15;45;0.022
SCAR_passaggio_top;VOL_SCARICO;VOL_SCARICO;32;42;6.98;0.009
SCAR_riduzione;VOL_SCARICO;VOL_SCARICO;32;18;36;0.021
SCAR_rosone_parete;VOL_SCARICO;VOL_SCARICO;32;10;42;0.013
SCAR_tubo_orizz_D32;VOL_SCARICO;VOL_SCARICO;32;124;32;0.127
SCAR_tubo_vert_D32;VOL_SCARICO;VOL_SCARICO;32;32;34.06;0.035
SCAR_uscita_orizz;VOL_SCARICO;VOL_SCARICO;32;32;32;0.033
SIFONE_bottiglia;VOL_SCARICO;VOL_SCARICO;40;40;190;0.304
VETRO_finestra_sp6_h720;VOL_VETRO;VOL_VETRO;1173;6;720;5.067
