pezzo;materiale;layer;L_mm;P_mm;H_mm;volume_dm3
COL_ripiano_divisorio_sp18;MULTI laminato CERA;VOL_CERA;308;500;18;2.772
COL_ripiano_scarpiera1_sp18;MULTI laminato CERA;VOL_CERA;308;500;18;2.772
COL_ripiano_scarpiera2_sp18;MULTI laminato CERA;VOL_CERA;308;500;18;2.772
COL_ripiano_scarpiera3_sp18;MULTI laminato CERA;VOL_CERA;308;500;18;2.772
COL_schienale_sp18;MULTI laminato CERA;VOL_CERA;326;18;2074.5;12.173
GUA_cielo_sp18;MULTI laminato CERA;VOL_CERA;446.5;582;18;4.678
GUA_fondo_sp18;MULTI laminato CERA;VOL_CERA;446.5;582;18;4.678
COL_fianco_SX_sp18;MULTI laminato OPACO;VOL_LAMINATO;18;600;2074.5;22.405
COL_fronte_alto_sp18;MULTI laminato OPACO;VOL_LAMINATO;269.5;18;575;2.789
COL_fronte_basso_sp18;MULTI laminato OPACO;VOL_LAMINATO;269.5;18;1218;5.909
COL_zoccolo_h74;MULTI laminato OPACO;VOL_LAMINATO;230;558;74.5;9.561
GUA_anta_450_sp18;MULTI laminato OPACO;VOL_LAMINATO;450;18;1997;16.176
GUA_zoccolo_h74;MULTI laminato OPACO;VOL_LAMINATO;410.5;558;74.5;17.065
LIB_montante_DX_30;MULTI laminato OPACO;VOL_LAMINATO;30;300;2074.5;18.671
LIB_montante_SX_30;MULTI laminato OPACO;VOL_LAMINATO;30;600;2074.5;37.341
LIB_ripiano1_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_ripiano2_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_ripiano3_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_ripiano4_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_ripiano5_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_ripiano6_sp30;MULTI laminato OPACO;VOL_LAMINATO;300;250.5;30;2.255
LIB_zoccolo_h74;MULTI laminato OPACO;VOL_LAMINATO;300;282;74.5;6.303
MONTANTE_40_H2080;MULTI laminato OPACO;VOL_LAMINATO;40;600;2080;49.920
COL_pannello_DOMOTICA_h198;Pannello DOMOTICA touch;VOL_DOMOTICA;269.5;18;198;0.960
LED_lama_colonna_alto;STRIP-LED;VOL_LED;7.9;4;552.5;0.017
LED_lama_colonna_basso;STRIP-LED;VOL_LED;7.9;4;1192.5;0.038
LED_lama_guardaroba;STRIP-LED;VOL_LED;7.9;4;1964;0.062
LIB_vetro_satinato_sp8;VETRO stratificato satinato;VOL_VETRO;314;8;1874;4.707
